(mentor310) isee604@isee604:~/mentor_final/mentor_piper$ python train_piper.py 
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
####################

workspace: /home/isee604/mentor_final/mentor_piper/outputs/2026-03-09/20-49-03
{'frame_stack': 3, 'action_repeat': 2, 'discount': 0.997, 'num_seed_frames': 4000, 'update_every_steps': 2, 'eval_every_frames': 10000, 'num_eval_episodes': 10, 'save_snapshot': True, 'save_interval': 10000, 'load_from_id': False, 'load_id': 0, 'snapshot_path': '', 'eval_only': False, 'use_wandb': False, 'replay_buffer_size': 1000000, 'replay_buffer_num_workers': 4, 'nstep': 3, 'batch_size': 256, 'seed': 0, 'device': 'cuda:0', 'save_video': True, 'save_train_video': False, 'use_tb': True, 'experiment': 'exp', 'lr': 0.0001, 'feature_dim': 50, 'num_train_frames': 2100000, 'use_sim': False, 'visualize': False, 'print_reward': True, 'use_apriltag': True, 'tag_size': 0.05, 'goal_pos': [0.02, -0.2862, 0.9809], 'obj_pos': [0.0693, 0.1579, 0.7317], 'nstep_alpha_temp': 1000000, 'discount_alpha_temp': 500000, 'discount_beta_temp': 1600000, 'stddev_schedule': 'linear(1.0,0.1,500000)', 'nstep_alpha': 7, 'discount_alpha': 0.02, 'discount_beta': 0.007, 'task_name': 'piper_push', 'agent': {'_target_': 'agents.mentor_mw.MENTORAgent', 'obs_shape': '???', 'action_shape': '???', 'device': '${device}', 'lr': '${lr}', 'critic_target_tau': 0.01, 'dormant_threshold': 0.025, 'target_dormant_ratio': 0.2, 'target_lambda': 0.5, 'dormant_temp': 10, 'lambda_temp': 50, 'perturb_interval': 50000, 'min_perturb_factor': 0.2, 'max_perturb_factor': 0.95, 'perturb_rate': 2, 'use_tb': '${use_tb}', 'num_expl_steps': 2000, 'hidden_dim': 1024, 'feature_dim': '${feature_dim}', 'stddev_type': 'awake', 'stddev_schedule': '${stddev_schedule}', 'stddev_clip': 0.3, 'expectile': 0.9, 'lr_actor_ratio': 1, 'aux_loss_scale_warmup': -1, 'aux_loss_scale_warmsteps': -1, 'aux_loss_scale': 0.002, 'aux_loss_type': '', 'encoder_type': 'scratch', 'resnet_fix': True, 'oneXone_reg_scale': 0.0, 'oneXone_reg_ratio': 0.5, 'pretrained_factor': 1.0, 'tp_set_size': 10, 'moe_gate_dim': 256, 'moe_hidden_dim': 256, 'num_experts': 16, 'top_k': 4, 'dropout': 0.1}}
正在使能机械臂...
✓ 机械臂连接成功并已使能
选择设备序列号: 153122079325
找到RGB相机传感器: RGB Camera
设备深度缩放因子 (Depth Scale): 0.0010000000474974513
✓ 加载相机标定: /home/isee604/mentor_final/mentor_piper/camera_calibration.npz
✓ 加载简单手眼标定: /home/isee604/mentor_final/mentor_piper/simple_hand_eye.json
  偏移量: [205.32268473  70.99607139  55.43848002]
✓ AprilTag 检测器初始化成功
No snapshot found at /home/isee604/mentor_final/mentor_piper/outputs/2026-03-09/20-49-03/snapshot.pt
start training
[2026-03-09 20:49:13,392][imageio_ffmpeg][WARNING] - IMAGEIO FFMPEG_WRITER WARNING: input image is not divisible by macro_block_size=16, resizing from (84, 84) to (96, 96) to ensure video compatibility with most codecs and players. To prevent resizing, make your input image divisible by the macro_block_size or set the macro_block_size to 1 (risking incompatibility).
| eval  | F: 0 | S: 0 | E: 0 | L: 500 | R: 0.0006 | T: 0:00:02 | SR: 0.0000
[Step   1] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step   2] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step   3] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step   4] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step   5] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step   6] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3351m | Success: ❌
[Step   7] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step   8] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step   9] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  10] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step  11] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step  12] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step  13] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  14] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step  15] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3352m | Success: ❌
[Step  16] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  17] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step  18] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step  19] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  20] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step  21] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3358m | Success: ❌
[Step  22] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  23] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  24] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  25] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  26] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  27] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step  28] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step  29] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step  30] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step  31] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3360m | Success: ❌
[Step  32] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3358m | Success: ❌
[Step  33] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3358m | Success: ❌
[Step  34] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step  35] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step  36] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  37] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  38] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step  39] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  40] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  41] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  42] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  43] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3358m | Success: ❌
[Step  44] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  45] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step  46] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  47] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3358m | Success: ❌
[Step  48] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3361m | Success: ❌
[Step  49] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3360m | Success: ❌
[Step  50] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  51] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step  52] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step  53] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3362m | Success: ❌
[Step  54] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3359m | Success: ❌
[Step  55] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3361m | Success: ❌
[Step  56] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  57] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step  58] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  59] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step  60] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3358m | Success: ❌
[Step  61] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  62] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step  63] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  64] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3358m | Success: ❌
[Step  65] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  66] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step  67] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  68] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  69] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  70] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step  71] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step  72] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  73] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  74] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step  75] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  76] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  77] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  78] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  79] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  80] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  81] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step  82] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  83] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  84] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step  85] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  86] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  87] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  88] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  89] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step  90] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step  91] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step  92] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step  93] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step  94] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step  95] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step  96] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step  97] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step  98] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3359m | Success: ❌
[Step  99] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 100] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 101] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 102] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3358m | Success: ❌
[Step 103] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 104] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step 105] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 106] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 107] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 108] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 109] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 110] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 111] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step 112] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step 113] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 114] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step 115] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step 116] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3352m | Success: ❌
